Date,Open,High,Low,Close,Adj_Close,Volume,day_of_week,month,year,Returns,Adj_Close_Lag_1,Adj_Close_Lag_2,Adj_Close_Lag_3,Rolling_Mean,Rolling_Std,30-Day MA,EMA,ROC,RSI,ATR
04/01/2016,32.8144989,32.88600159,31.37549973,31.84950066,31.84950066,186290000,0,1,2016,0.159999847,31.84950066,31.84950066,31.84950066,31.10035733,0.62361601,99.54063482,31.84950066,0.466354442,54.86170144,2.698086133
05/01/2016,32.3429985,32.34550095,31.38249969,31.68950081,31.68950081,116452000,1,1,2016,0.159999847,31.84950066,31.84950066,31.84950066,31.10035733,0.62361601,99.54063482,31.76061185,0.466354442,54.86170144,2.698086133
06/01/2016,31.10000038,31.98950005,31.01549911,31.63249969,31.63249969,106584000,2,1,2016,0.057001114,31.68950081,31.84950066,31.84950066,31.10035733,0.62361601,99.54063482,31.70810687,0.466354442,54.86170144,2.698086133
07/01/2016,31.09000015,31.5,30.26049995,30.39699936,30.39699936,141498000,3,1,2016,1.235500336,31.63249969,31.68950081,31.84950066,31.10035733,0.62361601,99.54063482,31.26396476,0.466354442,54.86170144,2.698086133
08/01/2016,30.9829998,31.20700073,30.29999924,30.35250092,30.35250092,110258000,4,1,2016,0.044498444,30.39699936,31.63249969,31.68950081,31.10035733,0.62361601,99.54063482,30.99282487,0.466354442,54.86170144,2.698086133
11/01/2016,30.62400055,30.99250031,29.92849922,30.88699913,30.88699913,97832000,0,1,2016,-0.534498215,30.35250092,30.39699936,31.63249969,31.10035733,0.62361601,99.54063482,30.96414021,-3.022030192,54.86170144,2.698086133
12/01/2016,31.26250076,31.29949951,30.61199951,30.89450073,30.89450073,94482000,1,1,2016,-0.007501602,30.88699913,30.35250092,30.39699936,31.10035733,0.62361601,99.54063482,30.94651632,-2.508717575,54.86170144,2.698086133
13/01/2016,31.04400063,31.04400063,28.95800018,29.09049988,29.09049988,153104000,2,1,2016,1.804000854,30.89450073,30.88699913,30.35250092,30.70621436,0.887341728,99.54063482,30.50048066,-8.036038383,54.86170144,2.698086133
14/01/2016,29.01250076,30.11249924,28.49399948,29.64999962,29.64999962,144760000,3,1,2016,-0.559499741,29.09049988,30.89450073,30.88699913,30.41485705,0.844468848,99.54063482,30.30401532,-2.457478555,54.86170144,2.698086133
15/01/2016,28.61199951,29.2310009,28.26499939,28.50900078,28.50900078,155690000,4,1,2016,1.14099884,29.64999962,29.09049988,30.89450073,29.96864292,0.916028653,99.54063482,29.90182787,-6.07363506,54.86170144,2.698086133
19/01/2016,28.85449982,29.20000076,28.32250023,28.72400093,28.72400093,96144000,1,1,2016,-0.215000153,28.50900078,29.64999962,29.09049988,29.72964314,1.000037427,99.54063482,29.64412606,-7.002940591,54.86170144,2.698086133
20/01/2016,28.21800041,28.92250061,27.35899925,28.58849907,28.58849907,159328000,2,1,2016,0.135501862,28.72400093,28.50900078,29.64999962,29.47764288,1.038442599,99.54063482,29.41742166,-7.464116942,54.86170144,2.698086133
21/01/2016,28.67900085,29.44050026,28.4109993,28.75099945,28.75099945,99044000,3,1,2016,-0.162500381,28.58849907,28.72400093,28.50900078,29.17250007,0.852459076,99.54063482,29.27638356,-1.167049135,54.86170144,2.698086133
22/01/2016,29.43650055,30.00499916,29.20549965,29.81900024,29.81900024,102402000,4,1,2016,-1.068000793,28.75099945,28.58849907,28.72400093,29.01885714,0.524015267,99.54063482,29.38989938,0.569985254,35.74987866,1.235143525
25/01/2016,29.89949989,30.42499924,29.72800064,29.82649994,29.82649994,87922000,0,1,2016,-0.007499695,29.81900024,28.75099945,28.58849907,29.124,0.607909129,99.54063482,29.48040383,4.621344575,35.81744122,1.177036149
26/01/2016,30.17250061,30.22500038,29.5189991,30.0625,30.0625,75314000,1,1,2016,-0.236000061,29.82649994,29.81900024,28.75099945,29.18292863,0.682778591,99.54063482,29.60019488,4.659862922,38.71392663,1.158679008
